pair,file_found,path,rows,start_date,end_date,missing_values
BTC/USDT:USDT,True,user_data\data\binance\futures\BTC_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
ETH/USDT:USDT,True,user_data\data\binance\futures\ETH_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
BNB/USDT:USDT,True,user_data\data\binance\futures\BNB_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
SOL/USDT:USDT,True,user_data\data\binance\futures\SOL_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
XRP/USDT:USDT,True,user_data\data\binance\futures\XRP_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
ADA/USDT:USDT,True,user_data\data\binance\futures\ADA_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
DOGE/USDT:USDT,True,user_data\data\binance\futures\DOGE_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
AVAX/USDT:USDT,True,user_data\data\binance\futures\AVAX_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
LINK/USDT:USDT,True,user_data\data\binance\futures\LINK_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
DOT/USDT:USDT,True,user_data\data\binance\futures\DOT_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
LTC/USDT:USDT,True,user_data\data\binance\futures\LTC_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
BCH/USDT:USDT,True,user_data\data\binance\futures\BCH_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
ATOM/USDT:USDT,True,user_data\data\binance\futures\ATOM_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
NEAR/USDT:USDT,True,user_data\data\binance\futures\NEAR_USDT_USDT-1h-futures.json,43825,2021-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0
APT/USDT:USDT,True,user_data\data\binance\futures\APT_USDT_USDT-1h-futures.json,28079,2022-10-19T02:00:00+00:00,2026-01-01T00:00:00+00:00,0
ARB/USDT:USDT,True,user_data\data\binance\futures\ARB_USDT_USDT-1h-futures.json,24346,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,0
OP/USDT:USDT,True,user_data\data\binance\futures\OP_USDT_USDT-1h-futures.json,31427,2022-06-01T14:00:00+00:00,2026-01-01T00:00:00+00:00,0
