trade_id,entry_time,exit_time,direction,entry_price_a,entry_price_b,exit_price_a,exit_price_b,qty_a,qty_b,gross_pnl,fees,slippage_cost,net_pnl,return_pct,duration_bars,exit_reason
1,2023-03-27 19:00:00+00:00,2023-03-30 02:00:00+00:00,SHORT_SPREAD,0.4676,88.53,0.5405,92.5,-5346.4499572284,74.34870564630887,-94.59184046610395,7.539640954013299,3.769820477006649,-105.90130189712389,-0.011660453846635832,55,mean_reversion_exit
2,2023-04-01 02:00:00+00:00,2023-04-01 06:00:00+00:00,LONG_SPREAD,0.5331,93.58,0.5185,93.44,4689.5516788595005,-70.33651325996713,-58.62034265495353,7.234346902147083,3.617173451073541,-69.47186300817415,-0.007649324774435301,4,stop_z_exit
3,2023-04-07 08:00:00+00:00,2023-04-09 03:00:00+00:00,SHORT_SPREAD,0.5081,89.65,0.506,90.64,-4920.29128124385,73.41986515189876,83.01827819099145,7.290613950618088,3.645306975309044,72.08235726506432,0.007936757952820074,43,mean_reversion_exit
4,2023-04-10 15:00:00+00:00,2023-04-10 16:00:00+00:00,LONG_SPREAD,0.5042,92.18,0.5086,92.89,4958.349861166204,-71.40476145441228,-28.880641243500627,7.294678376702886,3.6473391883514426,-39.822658808554955,-0.004384745671385292,1,stop_z_exit
5,2023-04-14 01:00:00+00:00,2023-04-14 15:00:00+00:00,LONG_SPREAD,0.5172,97.47,0.5148,93.96,4833.720030935809,-67.52940300469605,225.42727647223774,7.166221075645889,3.583110537822944,214.6779448587689,0.02363750230708251,14,mean_reversion_exit
6,2023-04-16 14:00:00+00:00,2023-04-16 15:00:00+00:00,LONG_SPREAD,0.5201,98.64,0.52,101.34,4806.767929244376,-66.72841556029728,-180.64739880572722,7.337547146782131,3.668773573391065,-191.6537195259004,-0.021102378450821895,1,stop_z_exit
7,2023-04-18 03:00:00+00:00,2023-04-19 07:00:00+00:00,LONG_SPREAD,0.5126,101.9,0.5219,99.97,4877.097151775264,-64.5936301360915,170.0227096741674,7.233949247633723,3.616974623816861,159.1717858027168,0.01752589655453131,28,mean_reversion_exit
8,2023-04-20 00:00:00+00:00,2023-04-24 02:00:00+00:00,SHORT_SPREAD,0.4945,90.73,0.4674,87.48,-5055.611729019211,72.54591547302682,-98.76714743091642,7.116560207436677,3.5582801037183387,-109.44198774207143,-0.0120503074474967,98,mean_reversion_exit
9,2023-04-25 10:00:00+00:00,2023-04-26 19:00:00+00:00,LONG_SPREAD,0.4546,89.07,0.4481,86.25,5499.340079190497,-73.89795566259934,172.6465244537914,7.168017550500872,3.5840087752504357,161.89449812804008,0.01782568570573495,33,mean_reversion_exit
10,2023-05-01 02:00:00+00:00,2023-05-02 08:00:00+00:00,SHORT_SPREAD,0.4604,87.13,0.4631,88.15,-5430.060816681147,75.54333651862417,62.39303904395815,7.302358875675796,3.6511794378378974,51.43950073044445,0.005663839003074877,30,mean_reversion_exit
11,2023-05-06 09:00:00+00:00,2023-05-06 13:00:00+00:00,SHORT_SPREAD,0.4605,86.27,0.4575,84.32,-5428.881650380022,76.29640559716847,-132.49134596333866,7.199646874347932,3.5998234371739657,-143.29081627486056,-0.01577729376210023,4,stop_z_exit
12,2023-05-08 18:00:00+00:00,2023-05-10 00:00:00+00:00,SHORT_SPREAD,0.4192,77.19,0.4287,80.21,-5963.740458015267,85.27129046337251,200.86376284823956,7.39134266131439,3.695671330657195,189.77674885626797,0.0208957112099791,30,mean_reversion_exit
13,2023-05-14 16:00:00+00:00,2023-05-15 04:00:00+00:00,LONG_SPREAD,0.4256,82.62,0.4289,86.32,5874.06015037594,-79.66704079965776,-275.383652462492,7.391333708476168,3.695666854238084,-286.4706530252063,-0.03154236792349353,12,stop_z_exit
14,2023-05-24 04:00:00+00:00,2023-05-24 05:00:00+00:00,SHORT_SPREAD,0.459,88.4,0.4593,87.88,-5446.6230936819165,74.45804197814167,-40.35216875673882,7.250839050733967,3.625419525366983,-51.22842733283977,-0.005640598385944289,1,stop_z_exit
15,2023-05-28 22:00:00+00:00,2023-05-29 23:00:00+00:00,LONG_SPREAD,0.4837,91.62,0.4942,90.85,5168.492867479843,-71.84120182130238,109.58690051094169,7.265253308576634,3.6326266542883165,98.68902054807674,0.010866332600787384,25,mean_reversion_exit
16,2023-05-31 05:00:00+00:00,2023-06-01 01:00:00+00:00,SHORT_SPREAD,0.5123,88.7,0.5087,91.15,-4879.953152449737,74.20621094552112,199.3730481653457,7.331367682881263,3.665683841440631,188.3759966410238,0.02074147886095383,20,mean_reversion_exit
17,2023-06-01 16:00:00+00:00,2023-06-04 05:00:00+00:00,LONG_SPREAD,0.5065,95.41,0.5215,94.98,4935.834155972359,-68.98743224890184,103.70210820661273,7.283421895283203,3.641710947641601,92.77697536368794,0.010215376202925919,61,mean_reversion_exit
18,2023-06-05 05:00:00+00:00,2023-06-05 15:00:00+00:00,SHORT_SPREAD,0.5372,93.23,0.5039,85.98,-4653.7602382725245,70.60056753049152,-356.88389866158843,6.998942996481965,3.4994714982409825,-367.3823131563114,-0.040451292192715,10,stop_z_exit
19,2023-06-10 03:00:00+00:00,2023-06-10 04:00:00+00:00,SHORT_SPREAD,0.5218,85.21,0.4994,78.51,-4791.107704101188,77.2455217799287,-410.22418335365455,7.015726405295224,3.5078632026476115,-420.7477729615974,-0.046327192393342626,1,stop_z_exit
20,2023-06-14 21:00:00+00:00,2023-06-15 18:00:00+00:00,SHORT_SPREAD,0.4807,73.11,0.482,74.63,-5200.748907842729,90.02996732140232,130.0845767483358,7.32311533825767,3.6615576691288347,119.09990374094929,0.013113709707357488,21,mean_reversion_exit
21,2023-06-20 18:00:00+00:00,2023-06-20 19:00:00+00:00,LONG_SPREAD,0.489,79.89,0.4886,79.86,5112.474437627812,-82.38942184087776,0.426692880175243,7.263866059722069,3.6319330298610346,-10.469106209407862,-0.001152719821035971,1,stop_z_exit
22,2023-06-21 20:00:00+00:00,2023-06-25 09:00:00+00:00,LONG_SPREAD,0.4962,84.99,0.4927,88.63,5038.291011688835,-77.4454748896073,-299.53554713908125,7.371379732717084,3.6856898663585413,-310.5926167381569,-0.03419836024394983,85,mean_reversion_exit
23,2023-06-28 13:00:00+00:00,2023-06-28 19:00:00+00:00,SHORT_SPREAD,0.4726,85.15,0.4591,82.5,-5289.885738468049,77.29995197730739,-133.4314152705463,7.155169396610507,3.5775846983052535,-144.16416936546204,-0.015873455879301286,6,stop_z_exit
24,2023-06-30 04:00:00+00:00,2023-06-30 05:00:00+00:00,LONG_SPREAD,0.4783,95.51,0.4769,94.35,5226.845076311938,-68.9152016633622,72.62405082266412,7.230769041879645,3.615384520939822,61.77789725984465,0.006802166799048509,1,stop_z_exit
25,2023-07-01 06:00:00+00:00,2023-07-03 16:00:00+00:00,LONG_SPREAD,0.4712,109.17,0.4834,106.38,5305.602716468591,-60.29212156148872,232.9433722974707,7.224278062287925,3.612139031143962,222.1069552040388,0.024455486889947704,58,mean_reversion_exit
26,2023-07-05 16:00:00+00:00,2023-07-10 19:00:00+00:00,SHORT_SPREAD,0.4736,100.37,0.4787,96.94,-5278.716216216216,65.57826951148473,-251.8549171270957,7.186467924005504,3.5932339620027514,-262.63461901310393,-0.028917858408445643,123,mean_reversion_exit
27,2023-07-13 07:00:00+00:00,2023-07-13 16:00:00+00:00,LONG_SPREAD,0.4712,100.23,0.6122,101.68,5305.602716468591,-65.66986841133118,652.8686738256407,7.60299724558158,3.80149862279079,641.4641779572684,0.07062957024463229,9,no_flip_exit
28,2023-07-13 18:00:00+00:00,2023-07-13 19:00:00+00:00,SHORT_SPREAD,0.7884,101.99,0.8218,102.7,-3170.9791983764585,64.53663016832753,-60.0896978062606,7.326365413752297,3.663182706876148,-71.07924592688904,-0.007826308569740793,1,stop_z_exit
29,2023-07-14 20:00:00+00:00,2023-07-20 08:00:00+00:00,SHORT_SPREAD,0.7108,93.77,0.8171,94.73,-3517.163759144626,70.1939949969897,-306.48827239996314,7.442177025811854,3.7210885129059266,-317.6515379386809,-0.03497559549404816,132,mean_reversion_exit
30,2023-07-22 01:00:00+00:00,2023-07-24 09:00:00+00:00,LONG_SPREAD,0.7695,95.13,0.6931,89.05,3248.8628979857053,-69.1904857654549,172.46502804785808,6.998116217150151,3.499058108575075,161.96785372213287,0.017833762655725068,56,mean_reversion_exit
