asset_a,asset_b,entry_z,exit_z,stop_z,rolling_window,fee_rate,slippage,total_return_capped,sharpe_until_depletion,max_drawdown,capital_depleted,fees_paid,number_of_trades
DOGE/USDT:USDT,AVAX/USDT:USDT,1.5,0.25,3.5,100,0.0002,0.0002,-0.19694022024922508,-0.40155126625323995,-0.3822678886881057,False,1175.139153039337,349.0
DOGE/USDT:USDT,AVAX/USDT:USDT,1.5,0.25,3.5,100,0.0004,0.0002,-0.2556971779011945,-0.5402827572906934,-0.40963261739511947,False,1762.7087295590059,349.0
DOGE/USDT:USDT,AVAX/USDT:USDT,1.5,0.5,3.5,100,0.0002,0.0002,-0.2759959032780329,-0.6524733806939245,-0.4032868987875933,False,1262.1259805869831,375.0
DOGE/USDT:USDT,AVAX/USDT:USDT,1.5,0.5,3.5,100,0.0004,0.0002,-0.3391022023073852,-0.8125491776194371,-0.43551065332206096,False,1893.1889708804747,375.0
DOGE/USDT:USDT,AVAX/USDT:USDT,1.5,0.75,3.5,100,0.0002,0.0002,-0.2511975831243187,-0.6664579665141968,-0.36062742948965787,False,1382.7218648318812,411.0
DOGE/USDT:USDT,AVAX/USDT:USDT,1.5,0.75,3.5,100,0.0004,0.0002,-0.32033367636591614,-0.8626414424345317,-0.4026894369983519,False,2074.082797247822,411.0
DOGE/USDT:USDT,AVAX/USDT:USDT,2.0,0.25,3.5,100,0.0002,0.0002,-0.15695747593678988,-0.4215581907478886,-0.29621841719975306,False,824.6997935972272,245.0
DOGE/USDT:USDT,AVAX/USDT:USDT,2.0,0.25,3.5,100,0.0004,0.0002,-0.19819246561665183,-0.5459444572009028,-0.31558778053888237,False,1237.0496903958408,245.0
DOGE/USDT:USDT,AVAX/USDT:USDT,2.0,0.5,3.5,100,0.0002,0.0002,-0.25841865749848225,-0.7335297752759662,-0.35604774025528285,False,851.8937293759972,253.0
DOGE/USDT:USDT,AVAX/USDT:USDT,2.0,0.5,3.5,100,0.0004,0.0002,-0.3010133439672835,-0.8612705964391456,-0.376362544566031,False,1277.840594063996,253.0
DOGE/USDT:USDT,AVAX/USDT:USDT,2.0,0.75,3.5,100,0.0002,0.0002,-0.16315274812592162,-0.5096860435192271,-0.27801929101335254,False,908.3885104162825,270.0
DOGE/USDT:USDT,AVAX/USDT:USDT,2.0,0.75,3.5,100,0.0004,0.0002,-0.20857217364673575,-0.664079386352006,-0.29486364297893375,False,1362.5827656244242,270.0
DOGE/USDT:USDT,AVAX/USDT:USDT,2.5,0.25,3.5,100,0.0002,0.0002,-0.06462752229750002,-0.21059775107764295,-0.15445315437762097,False,538.2476413774583,160.0
DOGE/USDT:USDT,AVAX/USDT:USDT,2.5,0.25,3.5,100,0.0004,0.0002,-0.09153990436637227,-0.317017779300002,-0.1659132491487122,False,807.3714620661875,160.0
DOGE/USDT:USDT,AVAX/USDT:USDT,2.5,0.5,3.5,100,0.0002,0.0002,-0.08602640385192628,-0.3086212761696903,-0.17394038034312453,False,552.0328718132388,164.0
DOGE/USDT:USDT,AVAX/USDT:USDT,2.5,0.5,3.5,100,0.0004,0.0002,-0.1136280474425877,-0.42154326173280154,-0.184516273335528,False,828.0493077198582,164.0
DOGE/USDT:USDT,AVAX/USDT:USDT,2.5,0.75,3.5,100,0.0002,0.0002,0.04006978987731613,0.23680036804915244,-0.08834922288538294,False,578.6218318188385,172.0
DOGE/USDT:USDT,AVAX/USDT:USDT,2.5,0.75,3.5,100,0.0004,0.0002,0.011138698286374149,0.09160380308779405,-0.09709931214809531,False,867.9327477282577,172.0
