fold_id,train_start,train_end,test_start,test_end,selected_rank,asset_a,asset_b,start_date,end_date,observations,correlation,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,half_life,spread_mean,spread_std,selected
0,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,2024-03-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,1,NEAR/USDT:USDT,APT/USDT:USDT,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,5000,0.9714296548349783,-3.8299644802655353,0.012358732318624464,-3.8283827127344536,0.0026299126836351336,1.8721688917822543,90.5576582927819,-3.055433627404964,0.1378484254523872,True
0,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,2024-03-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,2,BTC/USDT:USDT,APT/USDT:USDT,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,5000,0.967618529339897,-3.9037146504331015,0.009802950051432205,-3.9032503579835147,0.002011056054663334,0.9222544340063238,99.14676023958592,8.681609686551889,0.07250785675728237,True
0,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,2024-03-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,3,ADA/USDT:USDT,ATOM/USDT:USDT,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,5000,0.966846787358455,-3.8261523695241144,0.012505632188318561,-3.825772449168976,0.002654366492666336,1.7490221943536706,119.3379028154007,-4.726176096956676,0.09743312499915037,True
0,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,2024-03-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,4,DOGE/USDT:USDT,LTC/USDT:USDT,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,5000,0.9364780502122205,-4.563187664729761,0.0009623961285527592,-4.5617142032705855,0.0001518673037683209,2.627763782330708,68.70777223135329,-13.682108636575077,0.09695832562305144,True
0,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,2024-03-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,5,LTC/USDT:USDT,BCH/USDT:USDT,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,5000,0.8947913925794484,-3.6444105107894584,0.021566004528927273,-3.6437230795671676,0.004978097553907807,0.44080665105885736,114.48266020250045,1.8199121718962967,0.04398803128538674,True
1,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,2024-06-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,1,DOGE/USDT:USDT,BCH/USDT:USDT,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,5000,0.9606195714787187,-3.46835158350275,0.03530598187813309,-3.467853778598312,0.008852092572414698,0.8930348429374814,113.0993481866172,-7.358530326291808,0.08907722263965129,True
1,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,2024-06-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,2,SOL/USDT:USDT,NEAR/USDT:USDT,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,5000,0.9564696563895929,-3.430547043755159,0.03906913618214834,-3.430439756226086,0.009963930199468217,0.6850667354038944,149.32366940084628,3.768471814250953,0.09113927144164617,True
1,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,2024-06-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,3,DOGE/USDT:USDT,LTC/USDT:USDT,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,5000,0.9278797306208891,-3.672553333627605,0.01986800967367088,-3.671677832683838,0.0045296346769734775,2.508022767274791,95.00374113692907,-13.059601123748534,0.11953591788468096,True
1,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,2024-06-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,4,ADA/USDT:USDT,ATOM/USDT:USDT,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,5000,0.9149985178940816,-4.187806090982662,0.0038060995944579055,-4.191168199897282,0.0006819527222868535,1.0003943862966407,142.4961455233883,-2.919263925783295,0.07073299553930397,True
1,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,2024-06-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,5,DOT/USDT:USDT,APT/USDT:USDT,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,5000,0.8745849199047259,-3.539229589418027,0.029072644427230874,-3.5398529436644357,0.007020669117955302,0.6276115232297043,130.97644413071288,0.582945184258488,0.07687092002981895,True
